Date,Open,High,Low,Close,Adj Close,Volume,국고채(3년),국고채(3년)-월복리
2022-01-03,4778.140137,4796.640137,4758.169922,4796.560059,4796.560059,3831020000,2.939,0.09399826231359687
2022-01-04,4804.509766,4818.620117,4774.27002,4793.540039,4793.540039,4683170000,2.939,0.09399826231359687
2022-01-05,4787.990234,4797.700195,4699.439941,4700.580078,4700.580078,4887960000,2.939,0.09399826231359687
2022-01-06,4693.390137,4725.009766,4671.259766,4696.049805,4696.049805,4295280000,2.939,0.09399826231359687
2022-01-07,4697.660156,4707.950195,4662.740234,4677.029785,4677.029785,4181510000,2.939,0.09399826231359687
2022-01-10,4655.339844,4673.02002,4582.240234,4670.290039,4670.290039,4511810000,2.939,0.09399826231359687
2022-01-11,4669.140137,4714.129883,4638.27002,4713.069824,4713.069824,4101590000,2.939,0.09399826231359687
2022-01-12,4728.589844,4748.830078,4706.709961,4726.350098,4726.350098,4048220000,2.939,0.09399826231359687
2022-01-13,4733.560059,4744.129883,4650.290039,4659.029785,4659.029785,4251730000,2.939,0.09399826231359687
2022-01-14,4637.990234,4665.129883,4614.75,4662.850098,4662.850098,4338490000,2.939,0.09399826231359687
2022-01-18,4632.240234,4632.240234,4568.700195,4577.109863,4577.109863,4748700000,2.939,0.09399826231359687
2022-01-19,4588.029785,4611.549805,4530.200195,4532.759766,4532.759766,4465740000,2.939,0.09399826231359687
2022-01-20,4547.350098,4602.109863,4477.950195,4482.72998,4482.72998,4640870000,2.939,0.09399826231359687
2022-01-21,4471.379883,4494.52002,4395.339844,4397.939941,4397.939941,5589100000,2.939,0.09399826231359687
2022-01-24,4356.319824,4417.350098,4222.620117,4410.129883,4410.129883,6928110000,2.939,0.09399826231359687
2022-01-25,4366.640137,4411.009766,4287.109863,4356.450195,4356.450195,5145050000,2.939,0.09399826231359687
2022-01-26,4408.430176,4453.22998,4304.799805,4349.930176,4349.930176,5570640000,2.939,0.09399826231359687
2022-01-27,4380.580078,4428.740234,4309.5,4326.509766,4326.509766,5214200000,2.939,0.09399826231359687
2022-01-28,4336.189941,4432.720215,4292.459961,4431.850098,4431.850098,5031090000,2.939,0.09399826231359687
2022-01-31,4431.790039,4516.890137,4414.02002,4515.549805,4515.549805,5098610000,2.939,0.09399826231359687
2022-02-01,4519.569824,4550.490234,4483.529785,4546.540039,4546.540039,4816830000,2.939,0.09399826231359687
2022-02-02,4566.390137,4595.310059,4544.319824,4589.379883,4589.379883,4481580000,2.939,0.09399826231359687
