Date,Open,High,Low,Close,Adj Close,Volume,Peak,DD,MDD,MDD(6°³¿ùÆò±Õ)
2019-01-02,2476.959961,2519.48999,2467.469971,2510.030029,2510.030029,3733160000,2510.030029,0.0,0.0,0.0
2019-01-03,2491.919922,2493.139893,2443.959961,2447.889893,2447.889893,3858830000,2510.030029,-0.024756730111614167,-0.024756730111614167,-0.012378365055807083
2019-01-04,2474.330078,2538.070068,2474.330078,2531.939941,2531.939941,4234140000,2531.939941,0.0,-0.024756730111614167,-0.016504486741076112
2019-01-07,2535.610107,2566.159912,2524.560059,2549.689941,2549.689941,4133120000,2549.689941,0.0,-0.024756730111614167,-0.018567547583710625
2019-01-08,2568.110107,2579.820068,2547.560059,2574.409912,2574.409912,4120060000,2574.409912,0.0,-0.024756730111614167,-0.019805384089291334
2019-01-09,2580.0,2595.320068,2568.889893,2584.959961,2584.959961,4088740000,2584.959961,0.0,-0.024756730111614167,-0.020630608426345138
2019-01-10,2573.51001,2597.820068,2562.02002,2596.639893,2596.639893,3721300000,2596.639893,0.0,-0.024756730111614167,-0.021220054381383573
2019-01-11,2588.110107,2596.27002,2577.399902,2596.26001,2596.26001,3447460000,2596.639893,-0.0001462979140943732,-0.024756730111614167,-0.021662138847662396
2019-01-14,2580.310059,2589.320068,2570.409912,2582.610107,2582.610107,3689370000,2596.639893,-0.005403054169282995,-0.024756730111614167,-0.022005982321434817
2019-01-15,2585.100098,2613.080078,2585.100098,2610.300049,2610.300049,3601180000,2610.300049,0.0,-0.024756730111614167,-0.02228105710045275
2019-01-16,2614.75,2625.76001,2612.679932,2616.100098,2616.100098,3882180000,2616.100098,0.0,-0.024756730111614167,-0.022506118283285605
2019-01-17,2609.280029,2645.060059,2606.360107,2635.959961,2635.959961,3802410000,2635.959961,0.0,-0.024756730111614167,-0.022693669268979654
2019-01-18,2651.27002,2675.469971,2647.580078,2670.709961,2670.709961,4009010000,2670.709961,0.0,-0.024756730111614167,-0.022852366256874614
2019-01-22,2657.879883,2657.879883,2617.27002,2632.899902,2632.899902,3923950000,2670.709961,-0.014157306316348373,-0.024756730111614167,-0.02298839224649887
2019-01-23,2643.47998,2653.189941,2612.860107,2638.699951,2638.699951,3358770000,2670.709961,-0.011985580788418715,-0.024756730111614167,-0.023106281437506555
2019-01-24,2638.840088,2647.199951,2627.01001,2642.330078,2642.330078,3449230000,2670.709961,-0.010626344086189676,-0.024756730111614167,-0.02320943447963828
2019-01-25,2657.439941,2672.379883,2657.330078,2664.76001,2664.76001,3821000000,2670.709961,-0.0022278536744484434,-0.024756730111614167,-0.02330045186975451
2019-01-28,2644.969971,2644.969971,2624.060059,2643.850098,2643.850098,3630820000,2670.709961,-0.010057199543279105,-0.024756730111614167,-0.023381356216524492
2019-01-29,2644.889893,2650.929932,2631.050049,2640.0,2640.0,3518070000,2670.709961,-0.011498800486931637,-0.024756730111614167,-0.023453744316266054
2019-01-30,2653.620117,2690.439941,2648.340088,2681.050049,2681.050049,3883270000,2681.050049,0.0,-0.024756730111614167,-0.02351889360603346
2019-01-31,2685.48999,2708.949951,2678.649902,2704.100098,2704.100098,4953800000,2704.100098,0.0,-0.024756730111614167,-0.0235778382015373
2019-02-01,2702.320068,2716.659912,2696.879883,2706.530029,2706.530029,3782490000,2706.530029,0.0,-0.024756730111614167,-0.023631424197449888
2019-02-04,2706.48999,2724.98999,2698.75,2724.870117,2724.870117,3369450000,2724.870117,0.0,-0.024756730111614167,-0.023680350541543986
