Date,Open,High,Low,Close,Adj Close,Volume,Peak,DD,MDD,MDD(6°³¿ùÆò±Õ)
2022-01-04,2991.969971,2995.25,2973.080078,2989.23999,2989.23999,621200,2989.23999,0.0,0.0,0.0
2022-01-05,2984.050049,2986.199951,2936.72998,2953.969971,2953.969971,786900,2989.23999,-0.011798992090962912,-0.011798992090962912,-0.005899496045481456
2022-01-06,2925.399902,2952.540039,2915.379883,2920.530029,2920.530029,785500,2989.23999,-0.022985762678760402,-0.022985762678760402,-0.011594918256574438
2022-01-07,2933.780029,2959.030029,2933.100098,2954.889893,2954.889893,545800,2989.23999,-0.011491247646529756,-0.022985762678760402,-0.014442629362120929
2022-01-10,2947.370117,2951.120117,2910.899902,2926.719971,2926.719971,477000,2989.23999,-0.02091502161390535,-0.022985762678760402,-0.016151256025448823
2022-01-11,2930.929932,2943.570068,2909.820068,2927.379883,2927.379883,565800,2989.23999,-0.02069425914511469,-0.022985762678760402,-0.01729034046766742
2022-01-12,2950.780029,2972.580078,2950.310059,2972.47998,2972.47998,519000,2989.23999,-0.00560677966843337,-0.022985762678760402,-0.018103972212109274
2022-01-13,2979.909912,2982.139893,2958.389893,2962.090088,2962.090088,604600,2989.23999,-0.009082543419339228,-0.022985762678760402,-0.018714196020440665
2022-01-14,2937.610107,2944.969971,2914.72998,2921.919922,2921.919922,532300,2989.23999,-0.02252079733484358,-0.022985762678760402,-0.019188814538031746
2022-01-17,2918.550049,2919.669922,2875.97998,2890.100098,2890.100098,592900,2989.23999,-0.03316558467425035,-0.03316558467425035,-0.020586491551653607
2022-01-18,2898.97998,2902.790039,2857.26001,2864.23999,2864.23999,553700,2989.23999,-0.04181664918780914,-0.04181664918780914,-0.0225165058822132
2022-01-19,2840.340088,2871.790039,2832.179932,2842.280029,2842.280029,463400,2989.23999,-0.0491629850703289,-0.0491629850703289,-0.024737045814556175
2022-01-20,2842.280029,2862.699951,2830.969971,2862.679932,2862.679932,395400,2989.23999,-0.04233854037259821,-0.0491629850703289,-0.026615964218846384
2022-01-21,2837.48999,2847.949951,2817.110107,2834.290039,2834.290039,532500,2989.23999,-0.051835901941081675,-0.051835901941081675,-0.028417388341863192
2022-01-24,2823.76001,2828.110107,2780.679932,2792.0,2792.0,473600,2989.23999,-0.06598332374109583,-0.06598332374109583,-0.03092178403514537
